infohash,creation_date_conv,piece_length,number_pieces,number_files,torrent_size
547c0fff9bab9ca85b2ecc18f9746e8bcaa7a336,2006-07-14 11:22:25,262144,17648,0,4626251776
0bf53fe32b7ed17a133f5a15b204ecdb71a4f9d0,2008-04-10 16:03:53,2097152,1654,691,3467073951
12d50fd7283418a214ce8d689b991a745403e11f,2009-12-18 17:41:02,262144,2776,2,727466673
b15b00fefe533c7337013ecb6018e6c37ff41383,2006-03-21 06:03:14,262144,2801,0,734126080
f4c08bb37b91e9749419011cc85418cae632e25e,2010-12-14 09:31:43,262144,4621,4,1211345325
28596a9bbfb377dd5b01d69fa1762246aaefc650,2008-05-12 13:04:29,262144,15110,2,3960742606
b95910ebe8878bc52386d12505c6cbe3149d9a50,2011-01-24 11:16:06,262144,9049,5,2371935518
86834d3375cda35c78c6ee9ba999cb32d2e387db,2007-09-22 16:34:16,262144,8934,3,2341859460
a781e5e83ba7192fd57cecd3386a88a948384e10,2005-07-18 10:42:47,262144,2797,0,733007872
ecb1bc999470297243210a4503a38f1d5efbac79,2011-06-24 09:41:42,8388608,2350,8119,19712364796
de3cb6aac5ef0aec3a8015397f896ae8450e3b83,2006-12-04 09:24:00,262144,13283,5,3481956352
677990ea4143f079f99acd0ae843a3b2c1c127e2,2006-06-01 02:43:25,1048576,3396,0,3560097792
578f8dee7a77c0ba6b750188026a8fbfcee2351b,2009-04-09 01:01:48,262144,24640,13,6459058786
4c97bb98170c500d9c5986486574263b4b2c8832,2007-06-02 19:38:21,262144,2805,2,735289409
4c27d6761f9d292296bb51c366899ecad4dffcef,2012-02-16 20:25:16,2097152,2417,771,5067264260
6d2d8ac93a8d40e9ee0e801ab8bf8efd00cac9eb,2011-05-17 10:26:31,262144,2811,3,736720458
f14cacc2c826faa600ce155ea442a3dc1b85f632,2005-09-01 13:36:57,262144,2798,0,733290496
80f629d54d035b1b4aec8c8f43345b2d2ee12129,2013-09-21 01:09:13,2097152,9496,7451,19912906867
40cf347e39fe45e3c5bfde8d844015cde10ad1e8,2011-01-24 02:08:40,262144,2818,5,738577801
aa382b0eba23963cf94fe5f363f0900957bb77f2,2006-06-01 02:42:16,1048576,3284,0,3443007488
9323f615656d9cb21246051a7e2965e23ac69dbf,2013-01-14 11:02:10,262144,3325,2,871367737
8c2547e7499846629be45b4d64850ee63d7f7a6c,2005-06-17 14:28:55,262144,2797,0,732960768
fd8d39197a17e4c8ac78696b94832713346b83e0,2006-12-04 09:12:27,262144,12972,5,3400505344
d866587d4429cf82537139478203d1d9d16f75db,2012-04-02 04:56:16,524288,2609,3,1367601946
90e3f47e2b07acdd9d86ec252707fd5072c46be5,2006-06-01 02:42:50,1048576,3216,0,3371372544
c2a89806420e3252377bb0dc1fb21c2a75733695,2006-02-18 23:52:53,262144,10236,712,2683261310
99b125c2c593c5b28b1443ecfebb026231804892,2013-03-07 07:24:19,262144,3712,1,973078528
b6facfe2ac4d92cbe44f4b5d03ad377a1e30562f,2007-06-18 02:00:28,262144,9707,0,2544392192
754ea5e1ee02e32d9646f0d5b6c865e2805a7a99,2008-05-12 13:06:41,262144,15884,2,4163697496
da2c5c571ad54c79880492b63489236787226349,2009-07-15 09:25:56,2097152,3239,3,6792546551
bbfd3b63354a5d5b33ff4830acf68ef4cf216591,2008-05-12 13:02:25,262144,16850,2,4417065789
13ac8bb4a0d0c714710fa242c2cdced6c4f445e8,2007-11-06 14:02:05,262144,6030,2,1580621894
6c7d0709e157cbcdba66525c6dd41f7be7abafcb,2007-03-15 08:50:35,262144,15002,1,3932555264
42c090c9d31e7c7bd21d9cd8abce20ba94dae9e5,2005-06-25 12:05:51,262144,2801,0,734187520
62e3a9075e88e3f8a76f678e141e5bfe0a6e84f5,2011-05-17 02:05:05,262144,2794,3,732256510
